QueryNumber;QueryText
00001;['EFFECTS', 'CALCIUM', 'PHYSICAL', 'PROPERTIES', 'MUCUS', 'PATIENTS']
00002;['DISTINGUISH', 'EFFECTS', 'MUCUS', 'HYPERSECRETION', 'INFECTION', 'SUBMUCOSAL', 'GLANDS', 'RESPIRATORY', 'TRACT']
00003;['SALIVARY', 'GLYCOPROTEINS', 'PATIENTS', 'DIFFERENT', 'NORMAL', 'SUBJECTS']
00004;['LIPID', 'COMPOSITION', 'RESPIRATORY', 'SECRETIONS']
00005;['MUCUS', 'ABNORMAL']
00006;['EFFECT', 'WATER', 'THERAPEUTIC', 'AGENTS', 'PHYSICAL', 'PROPERTIES', 'VISCOSITY', 'ELASTICITY', 'SPUTUM', 'BRONCHIAL', 'SECRETIONS', 'PATIENTS']
00007;['MUCUS', 'GLYCOPROTEINS', 'DEGRADED', 'DIFFERENTLY', 'PATIENTS', 'COMPARED', 'NORMAL', 'SUBJECTS']
00008;['HISTOCHEMICAL', 'DIFFERENCES', 'DESCRIBED', 'NORMAL', 'RESPIRATORY', 'EPITHELIA']
00009;['ASSOCIATION', 'LIVER', 'DISEASE', 'CIRRHOSIS', 'VITAMIN', 'METABOLISM']
00010;['ROLE', 'VITAMIN', 'THERAPY', 'PATIENTS']
00011;['DIFFERENCE', 'MECONIUM', 'ILEUS', 'MECONIUM', 'PLUG', 'SYNDROME']
00012;['ABNORMALITIES', 'AMINO', 'ACID', 'TRANSPORT', 'DESCRIBED', 'SMALL', 'BOWEL', 'PATIENTS']
00013;['CLINICAL', 'BIOCHEMICAL', 'FEATURES', 'PANCREATITIS', 'PATIENTS']
00014;['NONINVASIVE', 'TESTS', 'PERFORMED', 'EVALUATION', 'EXOCRINE', 'PANCREATIC', 'FUNCTION', 'PATIENTS']
00015;['HEPATIC', 'COMPLICATIONS', 'MANIFESTATIONS']
00016;['GASTROINTESTINAL', 'COMPLICATIONS', 'NEONATAL', 'PERIOD', 'EXCLUDE', 'LIVER', 'DISEASE', 'MECONIUM', 'ILEUS']
00017;['EFFECTIVE', 'REGIMEN', 'PANCREATIC', 'ENZYME', 'SUPPLEMENTS', 'TREATMENT', 'PATIENTS']
00018;['DIETARY', 'SUPPLEMENTATION', 'BILE', 'SALTS', 'THERAPEUTIC', 'BENEFIT', 'PATIENTS']
00019;['COMPLICATIONS', 'PANCREATIC', 'ENZYME', 'THERAPY', 'REPORTED', 'PATIENTS']
00020;['EFFECT', 'TREATMENT', 'PATIENTS', 'ESSENTIAL', 'FATTY', 'ACID', 'SUPPLEMENTS']
00021;['PANCREATIC', 'INSUFFICIENCY', 'PATIENTS', 'AFFECT', 'ABILITY', 'ABSORB', 'METABOLIZE', 'IRON']
00022;['FREQUENCY', 'NONCAUCASIAN', 'POPULATIONS']
00023;['CONGENITAL', 'HEREDITARY', 'DISEASES', 'CONDITIONS', 'FOUND', 'ASSOCIATION']
00024;['CHARACTERISTICS', 'PATIENTS', 'INCOMPLETELY', 'MANIFESTED']
00025;['EVIDENCE', 'GENETIC', 'BASIS', 'INVOLVES', 'GENE']
00026;['HETEROZYGOTE', 'ADVANTAGE']
00027;['CONCORDANCE', 'CLINICAL', 'BIOCHEMICAL', 'MANIFESTATIONS', 'SIBLING', 'PAIRS']
00028;['INCIDENCE', 'MALE', 'FERTILITY']
00029;['PATHOLOGY', 'REPRODUCTIVE', 'SYSTEM', 'MALE', 'FEMALE']
00030;['RESULTS', 'GENETIC', 'COUNSELING', 'FAMILIES', 'CHILDREN']
00031;['MAJOR', 'PSYCHOLOGICAL', 'SOCIAL', 'EFFECTS', 'PATIENTS', 'FAMILIES']
00032;['FACTORS', 'INFLUENCE', 'COMPLIANCE', 'PRESCRIBED', 'THERAPY', 'PATIENTS']
00033;['CONDITIONS', 'FACTORS', 'LEAD', 'ERRONEOUS', 'SWEAT', 'TESTS']
00034;['ALTERNATIVE', 'TECHNIQUES', 'CLASSICAL', 'GIBSONCOOKE', 'QUANTITATIVE', 'PILOCARPINE', 'IONTOPHORESIS', 'TEST', 'TITRIMETRIC', 'ANALYSIS', 'CHLORIDE', 'AVAILABLE', 'SWEAT', 'TESTING', 'RELATIVE', 'ADVANTAGES', 'DISADVANTAGES']
00035;['PATIENT', 'FOUND', 'CONSISTENTLY', 'NORMAL', 'SWEAT', 'TESTS']
00036;['CONCENTRATION', 'POTASSIUM', 'SWEAT', 'PATIENTS']
00037;['TECHNIQUES', 'AVAILABLE', 'SCREENING', 'NEWBORN', 'INFANTS', 'FACTORS', 'CONTRIBUTE', 'ERRONEOUS', 'RESULTS', 'TESTS']
00038;['DIAGNOSED', 'PRENATALLY']
00039;['HETEROZYGOTES', 'IDENTIFIED']
00040;['SWEAT', 'TEST', 'TECHNIQUES', 'USEFUL', 'BEYOND', 'NEONATAL', 'PERIOD', 'DIAGNOSIS']
00041;['VITAMIN', 'METABOLISM', 'NORMAL', 'PATIENTS']
00042;['ABNORMALITIES', 'INSULIN', 'SECRETION', 'INSULIN', 'METABOLISM', 'OCCUR', 'PATIENTS']
00043;['SALT', 'SODIUM', 'ANDOR', 'CHLORIDE', 'TRANSPORTPERMEABILITY', 'ABNORMAL']
00044;['STRUCTURAL', 'ENZYMATIC', 'DIFFERENCES', 'FIBROBLASTS', 'PATIENTS', 'NONCF', 'PATIENTS']
00045;['ABNORMALITIES', 'PROSTAGLANDIN', 'METABOLISM', 'DESCRIBED', 'PATIENTS']
00046;['PROPERTIES', 'ACTIVITY', 'GALACTOSYLTRANSFERASE', 'ENZYMES', 'PATIENTS']
00047;['DIFFERENCES', 'NORMAL', 'SUBJECTS', 'PATIENTS', 'DESCRIBED', 'FUNCTION', 'METABOLISM', 'HORMONES']
00048;['FIBROBLASTS', 'PATIENTS', 'GROW', 'NORMAL', 'RATE']
00049;['METHYLATION', 'POLYAMINE', 'METABOLISM', 'NORMAL', 'PATIENTS']
00050;['DEFECTS', 'SYNTHESIS', 'METABOLISM', 'CYCLIC', 'NUCLEOTIDES', 'DESCRIBED', 'PATIENTS']
00051;['CIRCULATING', 'SECRETED', 'FACTORS', 'DESCRIBED', 'PATIENTS', 'FACTORS', 'UNIDENTIFIED', 'BIOLOGICALLY', 'ACTIVE', 'MOLECULES', 'THOUGHT', 'PLAY', 'PATHOGENETIC', 'ROLE', 'CYSTIC', 'FIBROSIS']
00052;['KNOWN', 'PROLACTIN', 'PATIENTS']
00053;['SECRETORY', 'PROTECT', 'PATIENTS', 'BACTERIAL', 'COLONIZATION', 'INFECTION']
00054;['RELATIONSHIP', 'ALLERGY', 'HYPERSENSITIVITY', 'LUNG', 'DISEASE', 'PATIENTS']
00055;['INTERACTIONS', 'PROTEASES', 'ENDOGENOUS', 'BACTERIAL', 'ORIGIN', 'ANTIPROTEASES', 'LUNGS', 'PATIENTS']
00056;['RELATIONSHIP', 'NUTRITION', 'PULMONARY', 'HOST', 'DEFENSES', 'BACTERIAL', 'INFECTION', 'PATIENTS']
00057;['PATHOPHYSIOLOGIC', 'ROLE', 'CIRCULATING', 'ANTIBODIES', 'PSEUDOMONAS', 'AERUGINOSA', 'PATIENTS']
00058;['IMMUNOLOGIC', 'RESPONSE', 'PULMONARY', 'INFECTION', 'PATIENTS']
00059;['IMMUNOLOGIC', 'ABNORMALITIES', 'FOUND', 'PATIENTS']
00060;['EFFECTS', 'PULMONARY', 'CIRCULATION']
00061;['DEFECT', 'MUCOCILIARY', 'TRANSPORT', 'CLEARANCE', 'RESPIRATORY', 'TRACT', 'PATIENTS']
00062;['CLINICAL', 'FEATURES', 'LUNG', 'DISEASE', 'PATIENTS']
00063;['BIOCHEMICAL', 'MICROSCOPIC', 'CHARACTERISTICS', 'AIRWAY', 'INFLAMMATION', 'PATIENTS']
00064;['LUNG', 'FUNCTION', 'CHANGE', 'TIME', 'PATIENTS', 'TIME', 'PERIODS', 'GREATER']
00065;['ABNORMALITIES', 'PULMONARY', 'FUNCTION', 'PATIENTS']
00066;['PATHOLOGIC', 'FEATURES', 'LUNG', 'DISEASE', 'PATIENTS']
00067;['PROGNOSIS', 'PATIENTS', 'EPISODE', 'RESPIRATORY', 'FAILURE']
00068;['EFFECTS', 'BRONCHODILATORS', 'PATIENTS']
00069;['BEST', 'TREAT', 'PNEUMOTHORAX', 'PATIENTS']
00070;['TREATMENT', 'PROGNOSIS', 'HEMOPTYSIS', 'PATIENTS']
00071;['PROGNOSIS', 'INFANTS', 'WHEEZING', 'CYSTIC', 'FIBROSIS']
00072;['BEST', 'TREATMENT', 'NASAL', 'POLYPS', 'PATIENTS']
00073;['EFFECTIVE', 'BRONCHIAL', 'LAVAGE', 'PATIENTS']
00074;['RESULTS', 'MECHANICAL', 'VENTILATION', 'PATIENTS', 'RESPIRATORY', 'FAILURE']
00075;['BEST', 'TREATMENT', 'PULMONARY', 'HYPERTENSION', 'ANDOR', 'PULMONALE', 'PATIENTS']
00076;['EFFECTS', 'EXERCISE', 'TRAINING', 'PROGRAMS', 'LUNG', 'FUNCTION', 'PATIENTS']
00077;['TECHNIQUES', 'EFFECTIVE', 'PROMOTING', 'CLEARANCE', 'MUCUS', 'LUNGS', 'PATIENTS']
00078;['SPECIAL', 'CONSIDERATIONS', 'TREATMENT', 'PATIENTS', 'ANTIBIOTICS', 'PHARMACODYNAMICS', 'ANTIBIOTICS', 'DIFFERENT', 'PATIENTS', 'SPECIAL', 'PROBLEMS', 'PECULIAR']
00079;['ROLE', 'ORALLY', 'ADMINISTERED', 'ANTIBIOTICS', 'TREATMENT', 'PATIENTS']
00080;['EVIDENCE', 'COMBINATION', 'THERAPY', 'AMINOGLYCOSIDES', 'SEMISYNTHETIC', 'PENICILLINS', 'EFFECTIVE', 'THERAPY', 'EITHER', 'ALONE']
00081;['EFFECTIVE', 'INHALATIONS', 'MUCOLYTIC', 'AGENTS', 'TREATMENT', 'PATIENTS']
00082;['ROLE', 'AEROSOLS', 'TREATMENT', 'LUNG', 'DISEASE', 'PATIENTS']
00083;['ROLE', 'BACTERIAL', 'PHAGOCYTOSIS', 'ALVEOLAR', 'MACROPHAGES', 'POLYMORPHONUCLEAR', 'LEUKOCYTES', 'LUNG', 'DISEASE', 'PATIENTS']
00084;['RELATIONSHIP', 'HAEMOPHILUS', 'INFLUENZAE', 'PSEUDOMONAS', 'AERUGINOSA', 'PATIENTS']
00085;['PATIENTS', 'EVER', 'DEVELOP', 'INFECTION', 'ORGANS', 'LUNG', 'ORGANS']
00086;['ROLE', 'BACTERIA', 'PSEUDOMONAS', 'AERUGINOSA', 'STAPHYLOCOCCUS', 'AUREUS', 'HAEMOPHILUS', 'INFLUENZAE', 'PATHOGENESIS', 'LUNG', 'DISEASE', 'PATIENTS']
00087;['ROLE', 'FUNGI', 'PATHOGENESIS', 'LUNG', 'DISEASE', 'PATIENTS']
00088;['ROLE', 'VIRAL', 'INFECTION', 'LUNG', 'DISEASE', 'PATIENTS']
00089;['EPIDEMIOLOGY', 'PSEUDOMONAS', 'AERUGINOSA', 'PATIENTS', 'SPECIFICALLY', 'PATIENTS', 'SPREAD', 'PSEUDOMONAS', 'AERUGINOSA', 'PATIENTS', 'INDIVIDUALS', 'FAMILY']
00090;['FACTORS', 'RESPONSIBLE', 'APPEARANCE', 'MUCOID', 'STRAINS', 'PSEUDOMONAS', 'AERUGINOSA', 'PATIENTS']
00091;['UNUSUAL', 'MANIFESTATIONS', 'LUNG', 'DISEASE', 'EXOCRINE', 'PANCREATIC', 'INSUFFICIENCY']
00092;['PROGNOSIS', 'SURVIVAL', 'PATIENTS']
00094;['ANIMAL', 'MODELS', 'AVAILABLE', 'RELEVANT']
00095;['ABNORMALITIES', 'SKELETAL', 'MUSCLE', 'FUNCTION', 'STRUCTURE', 'FOUND', 'PATIENTS']
00096;['INCREASED', 'INCIDENCE', 'DENTAL', 'PROBLEMS', 'CARIES', 'PERIODONTAL', 'DISEASE', 'PATIENTS']
00097;['OXYGEN', 'TRANSPORT', 'BLOOD', 'CELLS', 'ABNORMAL', 'PATIENTS']
00098;['EFFECTS', 'DEVELOPMENT', 'ANDOR', 'FUNCTION', 'BRAIN', 'CENTRAL', 'NERVOUS', 'SYSTEM']
00099;['ABNORMALITIES', 'TASTE', 'PATIENTS']
00100;['INCIDENCE', 'TREATMENT', 'HYPERTROPHIC', 'OSTEOARTHROPATHY', 'PATIENTS']
