QueryNumber;DocVotes;DocNumber
00001;2;139
00001;2;151
00001;0;166
00001;0;311
00001;1;370
00001;0;392
00001;0;439
00001;1;440
00001;2;441
00001;0;454
00001;1;461
00001;0;502
00001;0;503
00001;0;505
00001;1;520
00001;0;522
00001;1;526
00001;1;527
00001;2;533
00001;0;593
00001;0;619
00001;0;737
00001;0;742
00001;0;789
00001;0;827
00001;0;835
00001;0;861
00001;1;875
00001;0;891
00001;1;921
00001;1;922
00001;0;1175
00001;0;1185
00001;0;1222
00002;0;169
00002;1;434
00002;0;454
00002;0;498
00002;0;499
00002;0;592
00002;1;875
00003;0;23
00003;0;40
00003;2;139
00003;0;190
00003;0;221
00003;0;246
00003;0;309
00003;1;311
00003;0;325
00003;0;345
00003;0;347
00003;0;356
00003;1;370
00003;0;374
00003;2;375
00003;0;439
00003;1;440
00003;2;454
00003;0;515
00003;0;520
00003;0;524
00003;1;526
00003;2;527
00003;0;533
00003;0;535
00003;0;560
00003;0;561
00003;0;571
00003;0;584
00003;0;604
00003;0;623
00003;2;633
00003;0;733
00003;1;742
00003;0;854
00003;2;856
00003;0;950
00003;0;967
00003;1;1144
00003;0;1161
00003;0;1172
00003;0;1175
00003;0;1196
00004;0;503
00004;0;538
00004;0;539
00004;0;540
00004;0;553
00004;2;604
00004;1;669
00004;2;711
00004;2;876
00005;2;23
00005;2;47
00005;0;50
00005;0;60
00005;1;114
00005;0;132
00005;0;135
00005;0;139
00005;2;151
00005;0;169
00005;0;189
00005;0;190
00005;0;197
00005;0;200
00005;0;226
00005;2;256
00005;0;265
00005;0;297
00005;0;298
00005;0;299
00005;0;311
00005;0;312
00005;1;325
00005;0;333
00005;0;343
00005;0;347
00005;0;349
00005;0;369
00005;1;370
00005;0;371
00005;2;374
00005;1;386
00005;0;392
00005;0;410
00005;0;420
00005;0;427
00005;0;428
00005;1;430
00005;0;434
00005;0;437
00005;2;439
00005;0;440
00005;0;441
00005;0;450
00005;2;461
00005;0;465
00005;0;478
00005;2;496
00005;2;497
00005;2;498
00005;2;499
00005;1;500
00005;0;501
00005;0;502
00005;2;503
00005;0;505
00005;1;511
00005;0;513
00005;1;516
00005;0;520
00005;1;524
00005;0;531
00005;2;533
00005;0;549
00005;1;553
00005;0;559
00005;0;561
00005;0;568
00005;0;590
00005;1;592
00005;2;593
00005;0;604
00005;0;605
00005;2;633
00005;0;669
00005;0;701
00005;0;702
00005;2;710
00005;0;711
00005;0;722
00005;0;724
00005;0;729
00005;0;731
00005;0;733
00005;0;750
00005;0;761
00005;0;763
00005;0;772
00005;0;779
00005;0;788
00005;2;805
00005;0;843
00005;0;845
00005;2;856
00005;0;857
00005;2;861
00005;0;864
00005;1;867
00005;2;875
00005;0;876
00005;0;888
00005;0;889
00005;2;895
00005;0;925
00005;0;935
00005;0;943
00005;0;944
00005;2;975
00005;2;980
00005;0;982
00005;0;990
00005;0;1000
00005;0;1019
00005;0;1038
00005;0;1040
00005;2;1064
00005;0;1076
00005;0;1080
00005;0;1088
00005;0;1091
00005;0;1092
00005;0;1093
00005;0;1098
00005;1;1144
00005;0;1156
00005;1;1175
00005;0;1185
00005;0;1188
00005;0;1196
00005;0;1223
00005;0;1226
00006;0;25
00006;2;31
00006;0;90
00006;0;195
00006;0;326
00006;1;370
00006;0;438
00006;0;440
00006;0;441
00006;2;503
00006;0;511
00006;0;586
00006;1;592
00006;0;593
00006;0;722
00006;0;731
00006;0;734
00006;0;805
00006;1;875
00006;0;922
00006;0;963
00006;1;975
00006;0;1092
00006;0;1093
00007;0;45
00007;0;53
00007;0;166
00007;0;171
00007;1;256
00007;0;370
00007;2;371
00007;0;386
00007;0;410
00007;1;439
00007;0;535
00007;2;623
00007;0;633
00007;0;634
00007;0;640
00007;0;669
00007;0;831
00007;0;853
00007;1;856
00007;0;857
00007;0;921
00007;0;1027
00007;1;1054
00007;0;1056
00007;0;1057
00007;0;1059
00007;1;1064
00007;0;1161
00008;2;23
00008;0;169
00008;0;322
00008;0;370
00008;0;386
00008;0;435
00008;1;439
00008;0;463
00008;0;496
00008;0;497
00008;0;498
00008;2;499
00008;0;503
00008;0;605
00008;2;683
00008;0;710
00008;0;750
00008;0;771
00008;0;867
00008;0;875
00008;0;944
00008;2;1125
00009;2;165
00009;0;174
00009;0;362
00009;0;370
00009;2;414
00009;0;443
00009;1;794
00009;1;992
00009;0;1040
00009;0;1115
00010;2;30
00010;1;126
00010;2;157
00010;1;170
00010;2;296
00010;0;301
00010;0;322
00010;1;370
00010;2;413
00010;1;443
00010;2;581
00010;2;676
00010;0;715
00010;0;722
00010;1;728
00010;0;758
00010;1;782
00010;0;835
00010;2;878
00010;0;941
00010;2;1115
00010;0;1215
00010;2;1218
00010;0;1234
00010;1;1239
00011;0;36
00011;0;46
00011;2;96
00011;0;186
00011;0;301
00011;0;428
00011;1;518
00011;0;649
00011;0;652
00011;0;659
00011;1;772
00011;2;796
00011;2;798
00011;0;799
00011;0;835
00011;0;837
00011;0;908
00011;2;909
00011;2;991
00011;0;1119
00011;0;1178
00011;0;1226
00012;2;70
00012;0;181
00012;2;443
00012;2;466
00012;0;755
00012;0;918
00012;0;1115
00013;2;156
00013;1;301
00013;2;314
00013;2;322
00013;0;370
00013;1;443
00013;1;462
00013;0;522
00013;0;643
00013;2;695
00013;0;715
00013;0;719
00013;0;722
00013;1;763
00013;0;764
00013;2;791
00013;0;822
00013;0;900
00013;1;902
00013;0;978
00013;0;1017
00013;0;1033
00013;0;1097
00013;0;1124
00014;1;5
00014;0;89
00014;0;92
00014;2;131
00014;0;135
00014;2;150
00014;0;156
00014;0;203
00014;0;232
00014;2;233
00014;1;234
00014;0;291
00014;0;297
00014;0;314
00014;0;319
00014;2;344
00014;2;345
00014;0;356
00014;2;367
00014;1;370
00014;0;379
00014;2;405
00014;0;413
00014;1;417
00014;0;419
00014;0;421
00014;0;424
00014;2;462
00014;1;465
00014;0;492
00014;1;584
00014;1;602
00014;2;616
00014;2;635
00014;0;662
00014;0;695
00014;1;719
00014;1;777
00014;2;791
00014;0;809
00014;2;815
00014;2;852
00014;0;889
00014;2;899
00014;0;930
00014;1;941
00014;0;1000
00014;2;1008
00014;1;1013
00014;2;1100
00014;2;1117
00014;2;1124
00014;0;1135
00014;0;1206
00014;1;1234
00015;0;17
00015;2;59
00015;0;63
00015;0;72
00015;0;91
00015;0;95
00015;0;97
00015;0;98
00015;2;99
00015;0;135
00015;1;149
00015;2;174
00015;1;197
00015;2;204
00015;2;205
00015;0;226
00015;0;232
00015;0;238
00015;2;266
00015;0;297
00015;2;301
00015;2;322
00015;2;339
00015;0;350
00015;0;354
00015;2;355
00015;1;364
00015;1;370
00015;2;385
00015;1;398
00015;0;408
00015;1;410
00015;0;413
00015;0;414
00015;0;420
00015;2;422
00015;2;423
00015;0;424
00015;0;426
00015;0;434
00015;2;443
00015;1;474
00015;2;545
00015;2;549
00015;0;550
00015;2;601
00015;1;603
00015;0;611
00015;1;642
00015;0;643
00015;0;657
00015;0;673
00015;2;690
00015;2;700
00015;2;720
00015;2;722
00015;0;724
00015;1;725
00015;0;729
00015;0;731
00015;0;735
00015;1;747
00015;2;752
00015;1;763
00015;1;764
00015;0;767
00015;0;792
00015;0;794
00015;0;816
00015;0;822
00015;0;833
00015;0;837
00015;0;844
00015;0;853
00015;1;854
00015;0;857
00015;1;863
00015;2;870
00015;0;875
00015;0;888
00015;0;889
00015;1;900
00015;0;944
00015;0;990
00015;0;993
00015;2;994
00015;0;1000
00015;1;1013
00015;1;1016
00015;0;1027
00015;0;1033
00015;0;1040
00015;0;1093
00015;0;1098
00015;0;1115
00015;0;1162
00015;2;1184
00015;0;1187
00015;2;1192
00015;0;1195
00015;0;1226
00015;0;1232
00015;0;1234
00015;2;1235
00016;0;5
00016;0;10
00016;0;17
00016;0;36
00016;1;41
00016;1;46
00016;0;69
00016;0;72
00016;2;89
00016;0;92
00016;2;95
00016;0;97
00016;0;98
00016;0;126
00016;2;129
00016;0;130
00016;0;132
00016;0;134
00016;0;135
00016;0;148
00016;0;150
00016;0;168
00016;1;181
00016;2;182
00016;2;186
00016;0;189
00016;0;197
00016;0;202
00016;0;205
00016;0;212
00016;0;225
00016;0;226
00016;1;238
00016;2;240
00016;0;255
00016;0;288
00016;0;290
00016;0;292
00016;0;297
00016;1;298
00016;2;301
00016;2;314
00016;0;320
00016;2;322
00016;0;330
00016;0;331
00016;1;333
00016;1;350
00016;0;357
00016;0;359
00016;2;364
00016;2;370
00016;2;376
00016;0;386
00016;2;396
00016;1;398
00016;0;413
00016;0;421
00016;1;424
00016;0;428
00016;0;434
00016;2;443
00016;0;462
00016;2;466
00016;2;468
00016;0;472
00016;0;473
00016;2;475
00016;1;478
00016;0;489
00016;0;490
00016;0;510
00016;0;512
00016;1;518
00016;1;522
00016;0;550
00016;0;553
00016;0;559
00016;0;581
00016;1;582
